Patron,Tipo,Nivel
Chucha tu madre,Insulto,Muy alta
Longo hijueputa,Insulto,Muy alta
Malparido,Insulto,Alta
Careverga,Insulto,Muy alta
Comeverga,Insulto,Muy alta
Mamaverga,Insulto,Muy alta
Maricon,Exclusion,Muy alta
Hijueputa,Insulto,Alta
Chiro hijueputa,Exclusion,Alta
Te parto la madre,Amenaza,Muy alta
Vas a ver hijueputa,Amenaza,Alta
Te voy a meter una puteada,Amenaza,Alta
No te me atravieses o veras,Amenaza,Media
Vas a comer mierda,Amenaza,Muy alta
Mejor no te me cruces,Amenaza,Media
Te voy a dejar hecho verga,Amenaza,Muy alta
puta,Insulto,alta
